epoch,loss,out_departament_accuracy,out_departament_loss,out_problema_accuracy,out_problema_loss,out_urgenta_accuracy,out_urgenta_loss,val_loss,val_out_departament_accuracy,val_out_departament_loss,val_out_problema_accuracy,val_out_problema_loss,val_out_urgenta_accuracy,val_out_urgenta_loss
0,0.8846309781074524,0.984499990940094,0.09621534496545792,0.9833750128746033,0.09791427105665207,0.6488749980926514,0.690501868724823,0.5860931277275085,1.0,0.0007054635789245367,1.0,0.0007805539644323289,0.6554999947547913,0.5846071839332581
1,0.5737413167953491,1.0,0.001239595003426075,1.0,0.0013265899615362287,0.6740000247955322,0.5711750984191895,0.5775826573371887,1.0,0.000267940602498129,1.0,0.0003102157497778535,0.6585000157356262,0.5770043730735779
2,0.5608570575714111,1.0,0.0007191878976300359,1.0,0.0007798360311426222,0.6809375286102295,0.5593584179878235,0.5689295530319214,1.0,0.00019508310651872307,1.0,0.00020745561050716788,0.6707500219345093,0.568527102470398
3,0.5533819198608398,1.0,0.0005085254670120776,1.0,0.0005291288834996521,0.6850000023841858,0.5523436665534973,0.5717653036117554,1.0,0.00013085502723697573,1.0,0.00014111526252236217,0.6570000052452087,0.57149338722229
4,0.5506153702735901,1.0,0.0004609597090166062,1.0,0.0004914302262477577,0.6893125176429749,0.5496628284454346,0.5690120458602905,1.0,8.859187073539943e-05,1.0,9.436676918994635e-05,0.6652500033378601,0.5688291788101196
5,0.5456334352493286,0.9999374747276306,0.00047449019621126354,0.9999374747276306,0.0004619502287823707,0.695062518119812,0.5446965098381042,0.572470486164093,1.0,6.097296500229277e-05,1.0,6.37439516140148e-05,0.6629999876022339,0.5723458528518677
6,0.5436950922012329,0.9999374747276306,0.0004211532068438828,1.0,0.0003977280284743756,0.6959999799728394,0.5428760647773743,0.5700483322143555,1.0,5.819453872391023e-05,1.0,6.108063826104626e-05,0.6582499742507935,0.5699290633201599
7,0.540924072265625,0.9999374747276306,0.00035798895987682045,0.9999374747276306,0.0003644643002189696,0.7016875147819519,0.5402014255523682,0.5740209221839905,1.0,4.97277760587167e-05,1.0,5.110023994348012e-05,0.6610000133514404,0.5739201307296753
